TestId,Time (s),Temperature (C), Magnetic Field (mT), Test stop, Test Error, Error Message, DIFF0 (V), PWM Duty cycle (%), PWM Average Voltage (V), DIFF3 (V),DIFF4 (V),DIFF5 (V),DIFF6 (V),DIFF7 (V),AIN0 (V),AIN1 (V),AIN2 (V),AIN3 (V),AIN4 (V),AIN5 (V),AIN6 (V),AIN7 (V),AIN8 (V),AIN9 (V),AIN10 (V),AIN11 (V),AIN12 (V),AIN13 (V),AIN14 (V),AIN15 (V),OFFSET (V),VCC (V),TEMP,GAIN,REF
8,0,0,0,0,0,,0,0,0,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,2147484000,0,0,-273.4014,0,0
8,1,31.2,0,0,0,,44,4.301075269,0.141935484,0,0,0,0,0,-66,814,-66,-74,-66,-66,-66,-66,-66,-66,-66,-75,-66,-74,-66,0,0,4.933594,26.7762,1.000814,3.34375
8,3,30.1,0,0,0,,103,10.0684262,0.332258065,0,0,0,0,0,-66,826,-66,-70,-66,-67,-66,-65,-66,-66,-81,-66,-81,-66,-81,0,0,4.933594,26.7762,1.000814,3.344727
8,5,30.4,0,0,0,,163,15.93352884,0.525806452,0,0,0,0,0,-85,804,-87,-66,-88,-66,-87,-66,-87,-66,-75,-66,-72,-66,-69,0,65535,4.985352,26.7762,1.000814,3.344401
8,7,36.7,0,0,0,,221,21.60312805,0.712903226,0,0,0,0,0,-65,867,-66,-88,-66,-66,-89,-66,-87,-66,-80,-66,-77,-66,-73,0,0,4.948893,26.7762,1.000814,3.343099
8,9,38.8,0,0,0,,281,27.46823069,0.906451613,0,0,0,0,0,-66,888,-66,-78,-66,-74,-66,-78,-65,-81,-65,-84,-64,-85,-66,0,65535,4.927409,26.7762,1.000781,3.343099
8,11,34.8,0,0,0,,338,33.0400782,1.090322581,0,0,0,0,0,-65,888,-67,-77,-73,-73,-79,-71,-86,-68,-90,-66,-94,-65,-98,0,0,5.073242,26.7762,1.000781,3.344727
8,13,35.9,0,0,0,,397,38.80742913,1.280645161,0,0,0,0,0,-99,858,-102,-64,-103,-106,-65,-105,-65,-106,-65,-104,-65,-99,-65,0,0,4.934245,26.7762,1.000814,3.344075
8,15,37,0,0,0,,453,44.28152493,1.461290323,0,0,0,0,0,-67,871,-66,-94,-65,-64,-104,-64,-103,-63,-103,-63,-103,-64,-103,0,0,5.057943,26.7762,1.000814,3.345052
8,17,36,0,0,0,,512,50.04887586,1.651612903,0,0,0,0,0,-103,871,-101,-63,-100,-83,-68,-87,-67,-96,-99,-66,-101,-64,-99,0,65535,5.044922,26.7762,1.000781,3.345703
